Model State,MAE,RMSE,R2,Pearson_r
Run 1 — Full Model,1.6333435773849487,2.603009712075087,0.5139346122741699,0.7233432531356812
Run 2 — w/o PICA,1.7204604148864746,2.615707480020026,0.5096020698547363,0.7217433452606201
Run 3 — w/o PICA + w/o AsymLoss,1.6758102178573608,2.6846585888882784,0.4831852912902832,0.701521635055542
Run 4 — w/o PICA + w/o AsymLoss + w/o KinNorm,2.0909125804901123,3.3035325361046546,0.2076709270477295,0.5689767599105835
Run 5 — w/o PICA + w/o AsymLoss + w/o KinNorm + w/o 2DSamp,2.4435181617736816,3.869374899244176,-0.07264053821563721,0.5974916815757751
