loss,mae,rmse,val_loss,val_mae,val_rmse,lr
0.6559081077575684,0.6107929944992065,1.0183587074279785,1.0300089120864868,0.5953417420387268,0.7572369575500488,0.001
0.25571325421333313,0.4234221279621124,0.6091916561126709,0.543952226638794,0.45467454195022583,0.6021841168403625,0.001
0.18938185274600983,0.3790857195854187,0.5070664286613464,0.3782317638397217,0.409254789352417,0.5549803972244263,0.001
0.16405782103538513,0.36123403906822205,0.4752349257469177,0.39590519666671753,0.40854254364967346,0.5612013339996338,0.001
0.14077788591384888,0.33899638056755066,0.43973100185394287,0.26052114367485046,0.40473443269729614,0.5955180525779724,0.001
0.12611640989780426,0.32274165749549866,0.41869255900382996,0.26619747281074524,0.39535242319107056,0.5659597516059875,0.001
0.11588870733976364,0.3121005892753601,0.40382319688796997,0.28511327505111694,0.41184571385383606,0.6192157864570618,0.001
0.11271770298480988,0.30622655153274536,0.39535993337631226,0.2892341911792755,0.3870984613895416,0.5927953720092773,0.001
0.10489881038665771,0.2948789894580841,0.3794471323490143,0.2538583278656006,0.41313204169273376,0.6268141865730286,0.001
0.10064695030450821,0.29132017493247986,0.3747292459011078,0.2773294150829315,0.3887312412261963,0.5699684619903564,0.001
0.09951233118772507,0.2906546890735626,0.37395569682121277,0.2427782416343689,0.3944758176803589,0.6050309538841248,0.001
0.09329645335674286,0.2825702428817749,0.36341795325279236,0.2473606914281845,0.37408700585365295,0.55144202709198,0.001
0.08967139571905136,0.2755536735057831,0.3541668653488159,0.2576691210269928,0.38423952460289,0.5494326949119568,0.001
0.08731802552938461,0.2744262218475342,0.3516351282596588,0.23665593564510345,0.46305203437805176,0.6278824210166931,0.001
0.08655693382024765,0.2721351981163025,0.34859350323677063,0.2257678210735321,0.3774957060813904,0.5373712778091431,0.001
0.07865376770496368,0.2588966190814972,0.3309163749217987,0.23164066672325134,0.38557448983192444,0.5327110886573792,0.001
0.08075279742479324,0.2631058394908905,0.33840399980545044,0.21837006509304047,0.3702187240123749,0.5012937188148499,0.001
0.07505150139331818,0.25385335087776184,0.3250730037689209,0.23744305968284607,0.3608889579772949,0.5277465581893921,0.001
0.07091264426708221,0.24581724405288696,0.31616783142089844,0.22981369495391846,0.3588278293609619,0.5308938026428223,0.001
0.07204257696866989,0.24966579675674438,0.31948307156562805,0.22242291271686554,0.36289265751838684,0.49749016761779785,0.001
0.06791669875383377,0.2419586181640625,0.31074902415275574,0.24623256921768188,0.3925991356372833,0.5446280837059021,0.001
0.06955891847610474,0.24435584247112274,0.31242531538009644,0.24444590508937836,0.3582696318626404,0.4956028461456299,0.001
0.061505772173404694,0.23126201331615448,0.2961122989654541,0.23392459750175476,0.37761190533638,0.5123414993286133,0.0005
0.06257971376180649,0.23307004570960999,0.29788050055503845,0.23068973422050476,0.36016350984573364,0.49376794695854187,0.0005
0.061658065766096115,0.232449471950531,0.29806315898895264,0.22029443085193634,0.37042471766471863,0.4997049570083618,0.0005
0.0613836795091629,0.22992494702339172,0.2949007749557495,0.2097501903772354,0.3615705370903015,0.48903459310531616,0.0005
0.059914834797382355,0.2272760272026062,0.29247283935546875,0.20809967815876007,0.3489631712436676,0.48604241013526917,0.0005
0.05930246412754059,0.22690199315547943,0.2922234833240509,0.20770356059074402,0.3513074517250061,0.48333823680877686,0.0005
0.05670119822025299,0.22195208072662354,0.28353679180145264,0.22295086085796356,0.3496313691139221,0.48879626393318176,0.0005
0.05635756254196167,0.2212219089269638,0.2837238013744354,0.21086375415325165,0.35786929726600647,0.49199265241622925,0.0005
0.05572785437107086,0.21791774034500122,0.27935105562210083,0.21598251163959503,0.3463935852050781,0.48519638180732727,0.0005
0.060396693646907806,0.22814582288265228,0.2926556468009949,0.21103182435035706,0.36391252279281616,0.512255072593689,0.0005
0.05442415550351143,0.21773622930049896,0.27850931882858276,0.209799662232399,0.375186562538147,0.5087659955024719,0.0005
0.05213909223675728,0.21344158053398132,0.27383700013160706,0.21724604070186615,0.3500305712223053,0.4807913601398468,0.00025
0.05161244049668312,0.20906707644462585,0.2693403363227844,0.2235858291387558,0.34606748819351196,0.48187801241874695,0.00025
0.05011213570833206,0.20860396325588226,0.26783910393714905,0.22906965017318726,0.35435134172439575,0.4872577488422394,0.00025
0.05173246189951897,0.20912806689739227,0.269093781709671,0.2007284164428711,0.3575785160064697,0.49202701449394226,0.00025
0.05064054951071739,0.20985254645347595,0.2693057060241699,0.23148709535598755,0.35686182975769043,0.49126189947128296,0.00025
0.049364373087882996,0.2041558474302292,0.26321282982826233,0.21459317207336426,0.34803465008735657,0.4825802147388458,0.00025
0.05043528601527214,0.20742222666740417,0.2667836546897888,0.22457002103328705,0.35116833448410034,0.48884883522987366,0.00025
0.048574335873126984,0.20363669097423553,0.26093533635139465,0.2009860873222351,0.3493402302265167,0.4750814735889435,0.00025
0.047471389174461365,0.20296646654605865,0.26100364327430725,0.21326307952404022,0.3414308428764343,0.4660389721393585,0.00025
0.0459132082760334,0.19939638674259186,0.255214661359787,0.2061794251203537,0.3629206418991089,0.4928967356681824,0.000125
0.04537389427423477,0.19654396176338196,0.2541455924510956,0.20134860277175903,0.34962332248687744,0.4752741754055023,0.000125
0.04789428785443306,0.20189757645130157,0.2597600221633911,0.2085421085357666,0.35335150361061096,0.4823162853717804,0.000125
0.04495089873671532,0.19679415225982666,0.25310173630714417,0.21094313263893127,0.35076141357421875,0.47760114073753357,0.000125
0.04599878564476967,0.19738076627254486,0.2533685266971588,0.21028076112270355,0.35379451513290405,0.47849026322364807,0.000125
0.04525423422455788,0.197249174118042,0.2530830502510071,0.20572185516357422,0.3541660010814667,0.4817853569984436,6.25e-05
0.04458616301417351,0.19560419023036957,0.25104114413261414,0.20149147510528564,0.34745898842811584,0.47575855255126953,6.25e-05
0.043944600969552994,0.19464364647865295,0.24949294328689575,0.20805275440216064,0.35106661915779114,0.4762572646141052,6.25e-05
0.04539761692285538,0.19830669462680817,0.25531625747680664,0.21073780953884125,0.3540138900279999,0.4818844497203827,6.25e-05
0.044489070773124695,0.19620554149150848,0.2512965202331543,0.21153658628463745,0.3503204584121704,0.477001816034317,6.25e-05
