timestamp,ax,ay,az,wx,wy,wz,latitude,longitude,speed,roadCondition
1762948249771,0.49694648,0.7164649,9.156026,-0.06499606,0.0055792355,0.009610946,28.6911265,77.2079396,5.873657,Good
1762948249872,0.53395486,0.727981,9.54008,-0.069773026,0.023273965,-0.02610838,28.6911265,77.2079396,5.873657,Good
1762948249972,0.6619968,0.80181813,9.687467,0.04229631,-0.03358537,0.0009407325,28.6910763,77.2079104,6.466872,Good
1762948250072,0.6951804,0.8726865,9.6801405,-0.036334265,0.010995574,-0.019999728,28.6910763,77.2079104,6.466872,Good
1762948250172,0.50910306,0.7965509,9.592417,-0.119228676,0.06327342,0.0133535145,28.6910763,77.2079104,6.466872,Good
1762948250272,0.693265,0.7401914,9.784672,-0.023469443,0.031838298,-0.019205604,28.6910763,77.2079104,6.466872,Good
1762948250373,0.4437892,0.61195797,10.227072,-0.10600956,0.008698721,-0.046315804,28.6910763,77.2079104,6.466872,Good
1762948250473,0.48353297,0.49612647,9.870911,-0.03970624,0.015919149,0.04493525,28.6910763,77.2079104,6.466872,Good
1762948250573,0.4888481,0.60357827,9.713899,-0.058606412,0.024813347,-0.024043657,28.6910763,77.2079104,6.466872,Good
1762948250673,0.35946545,0.628861,9.759053,0.09101892,-0.01863139,0.061404176,28.6910763,77.2079104,6.466872,Good
1762948250773,0.54334015,0.61832654,9.611475,-0.037006218,0.0033231073,-0.0010629055,28.6910763,77.2079104,6.466872,Good
1762948250874,0.3179021,0.4262158,9.991817,-0.09944886,0.005412266,-0.0035796703,28.6910763,77.2079104,6.466872,Good
1762948250974,0.5842331,0.34050336,9.904333,0.011081095,-0.047989573,0.0071715578,28.6910178,77.2078787,7.0260396,Good
1762948251074,0.48037264,0.46543282,9.656103,0.053035323,0.018655825,0.035625663,28.6910178,77.2078787,7.0260396,Good
1762948251174,0.501681,0.33537978,10.105255,0.14224608,-0.017519616,0.025363125,28.6910178,77.2078787,7.0260396,Good
1762948251274,0.62364167,0.6192842,9.75824,-0.03523471,-0.0063407808,-0.015931366,28.6910178,77.2078787,7.0260396,Good
1762948251375,0.55579,0.5137957,9.901892,0.019963076,0.017959438,0.024446826,28.6910178,77.2078787,7.0260396,Good
1762948251475,0.6553409,0.5827487,9.706094,0.04450764,-0.015491542,-0.01391551,28.6910178,77.2078787,7.0260396,Good
1762948251575,0.3349488,0.3536236,9.75867,-0.15498874,0.069027774,0.01767844,28.6910178,77.2078787,7.0260396,Good
1762948251675,0.6189969,0.28562826,9.733196,0.116663046,-0.029126054,0.024874432,28.6910178,77.2078787,7.0260396,Good
1762948251775,0.5447767,0.41280827,9.543001,-0.052302282,0.055564303,-0.021221459,28.6910178,77.2078787,7.0260396,Good
1762948251876,0.1931163,0.22965182,10.297749,-0.058459803,0.04315152,0.020256292,28.6910178,77.2078787,7.0260396,Good
1762948251976,0.17137696,0.07321469,9.914724,-0.08120842,-0.017971655,0.0067317346,28.6909555,77.2078484,7.411262,Good
1762948252076,0.5710171,0.100029744,9.796308,0.11238699,-0.010005972,0.033927456,28.6909555,77.2078484,7.411262,Good
1762948252176,0.36818033,0.078194626,10.070539,0.023383921,-0.0075014243,-0.020781636,28.6909555,77.2078484,7.411262,Good
1762948252276,0.10261548,0.17554288,9.898875,0.04190536,-0.008491026,0.019657644,28.6909555,77.2078484,7.411262,Good
1762948252377,0.5340985,0.21495143,9.936704,-0.036199875,-0.046523497,-0.0055588735,28.6909555,77.2078484,7.411262,Good
1762948252477,0.5707298,0.27705702,9.829969,0.16101186,-0.08554557,-0.011618657,28.6909555,77.2078484,7.411262,Good
1762948252577,0.5453991,0.40251318,9.618035,0.026450465,-0.021013765,0.037959166,28.6918405,77.2083597,0.0,Good
1762948252677,0.31675288,0.19910182,10.0182495,-0.14756061,0.021722369,-0.004361578,28.6918405,77.2083597,0.0,Good
1762948252777,0.6484456,0.1013705,10.007524,0.1140241,-0.082918845,0.036199875,28.6909106,77.2078266,7.41069,Good
1762948252878,0.78118014,0.38618472,9.432149,0.053365186,-0.023200661,0.008869763,28.6909106,77.2078266,7.41069,Good
1762948252978,0.6604166,0.302244,10.009151,0.014465289,-0.020317378,-0.0019914205,28.6908932,77.2078173,7.693886,Good
1762948253078,0.68493325,0.3316927,9.830497,-0.026816985,0.0027244594,0.0014049901,28.6908932,77.2078173,7.693886,Good
1762948253178,0.6894343,0.4018428,9.5931835,0.06712187,-0.05370727,-0.0017837266,28.6908932,77.2078173,7.693886,Good
1762948253278,0.82240826,0.6298666,9.643558,-0.011447614,-0.0207572,-0.004483751,28.6908932,77.2078173,7.693886,Good
1762948253379,0.72017586,0.27159825,9.638099,-0.12835501,0.031716123,0.00037873644,28.6908932,77.2078173,7.693886,Good
1762948253479,0.72778946,0.18875886,9.985928,0.010091494,-0.046218064,0.013267993,28.6908932,77.2078173,7.693886,Good
1762948253579,0.77059776,0.19206287,9.997468,-0.06170961,0.054464746,0.018435914,28.6908932,77.2078173,7.693886,Good
1762948253679,0.74301654,0.08987833,9.758622,-0.000806342,-0.0024068092,0.017128661,28.6908932,77.2078173,7.693886,Good
1762948253779,0.5354872,0.24803929,10.167073,0.006731735,0.016884316,-0.082637854,28.6908932,77.2078173,7.693886,Good
1762948253880,0.85664535,0.23898922,9.725391,-0.004972443,-0.033377677,0.07192327,28.6908932,77.2078173,7.693886,Good
1762948253980,0.7372705,0.44498634,9.384552,0.06941873,-0.019107865,-0.030946434,28.690824,77.2077848,7.9447923,Good
1762948254080,0.75503546,0.2555571,9.881828,-0.013720034,-0.010897836,-0.007122689,28.690824,77.2077848,7.9447923,Good
1762948254180,0.8040208,0.20389022,9.99177,-0.01192409,-0.016053539,-0.0054611354,28.690824,77.2077848,7.9447923,Good
1762948254280,0.886956,0.110516354,9.927606,0.031606168,-0.020341814,-0.014807373,28.690824,77.2077848,7.9447923,Good
1762948254381,1.1073662,0.339833,9.531987,-0.0028588495,-0.034000758,-0.0271102,28.690824,77.2077848,7.9447923,Good
1762948254481,1.1288661,0.39044642,9.809427,0.06107431,-0.030763173,-0.017800612,28.690824,77.2077848,7.9447923,Good
1762948254581,1.2402444,0.4765898,9.6234455,0.017971655,0.000256563,-0.012388347,28.690824,77.2077848,7.9447923,Good
