time,ax,ay,az,wx,wy,wz,latitude,longitude,altitude,speed
2026-01-27 13:35:15.300000+00:00,0.29253999999999997,0.15324000000000002,0.010970000000000013,0.01268,0.01888,-0.02918,28.526473252173652,77.03069526983545,215.01499999999996,24.3565
2026-01-27 13:35:15.400000+00:00,0.49622,0.14181,0.0022299999999999937,0.01091,0.004829999999999999,-0.013989999999999999,28.526473252173652,77.03069526983545,215.01499999999996,24.3565
2026-01-27 13:35:15.500000+00:00,0.48324,0.07464,-0.07164999999999998,0.01406,-0.013930000000000001,-0.013669999999999998,28.526473252173652,77.03069526983545,215.01499999999996,24.3565
2026-01-27 13:35:15.600000+00:00,0.30588,0.22083000000000003,0.22749000000000003,-0.0008400000000000005,-0.002109999999999998,-0.00824,28.526473252173652,77.03069526983545,215.01499999999996,24.3565
2026-01-27 13:35:15.700000+00:00,0.43628,0.2319,0.17061,-0.006070000000000001,-0.0092,-0.018080000000000002,28.526473252173652,77.03069526983545,215.01499999999996,24.3565
2026-01-27 13:35:15.800000+00:00,0.14462,0.07387,-0.09001,-0.019719999999999998,0.01759,-0.0057599999999999995,28.526473252173652,77.03069526983545,215.01499999999996,24.3565
2026-01-27 13:35:15.900000+00:00,0.46152999999999994,0.09125,0.15795000000000003,0.00574,-0.0007499999999999986,-0.007150000000000001,28.526473252173652,77.03069526983545,215.01499999999996,24.3565
2026-01-27 13:35:16+00:00,0.39492000000000005,-0.01407,0.73754,0.01265,-0.00032000000000000084,-0.0155,28.526366748242896,77.03060481131754,215.11471999999998,24.434919999999998
2026-01-27 13:35:16.100000+00:00,0.48025,0.11539000000000002,-0.0021700000000000053,-0.0004899999999999998,0.00017000000000000072,-0.0132,28.526295745622395,77.03054450563893,215.1812,24.4872
2026-01-27 13:35:16.200000+00:00,0.10458999999999999,0.33336,-0.65621,-0.018959999999999998,0.0005500000000000001,-0.01457,28.526295745622395,77.03054450563893,215.1812,24.4872
2026-01-27 13:35:16.300000+00:00,0.28840000000000005,0.24628,-0.36535,-0.00882,-0.0015300000000000003,-0.01414,28.526295745622395,77.03054450563893,215.1812,24.4872
2026-01-27 13:35:16.400000+00:00,0.49322999999999995,0.14926,0.42938,0.004230000000000001,0.010620000000000001,-0.01182,28.526295745622395,77.03054450563893,215.1812,24.4872
2026-01-27 13:35:16.500000+00:00,0.57884,0.10734999999999999,0.83513,0.0054,0.03357,-0.01388,28.526295745622395,77.03054450563893,215.1812,24.4872
2026-01-27 13:35:16.600000+00:00,0.58023,0.19108,0.37134,-0.0026400000000000004,0.04907,-0.030809999999999997,28.526295745622395,77.03054450563893,215.1812,24.4872
2026-01-27 13:35:16.700000+00:00,0.51366,0.17769000000000001,-0.47768,-0.00673,0.04439,-0.02253,28.526295745622395,77.03054450563893,215.1812,24.4872
2026-01-27 13:35:16.800000+00:00,0.36871,0.23555,-0.64876,-0.0069099999999999995,-0.0036000000000000016,0.00151,28.526295745622395,77.03054450563893,215.1812,24.4872
2026-01-27 13:35:16.900000+00:00,0.35151,0.24532000000000004,-0.15119000000000002,-0.00585,-0.02629,-0.01098,28.526295745622395,77.03054450563893,215.1812,24.4872
2026-01-27 13:35:17+00:00,0.58294,0.25287000000000004,0.34043,0.00099,-0.016649999999999998,-0.02385,28.526207354759656,77.03046606611589,215.20149999999998,24.61535
2026-01-27 13:35:17.100000+00:00,0.62078,0.10494999999999999,1.11896,0.02401,-0.0029899999999999987,-0.01583,28.52611896389692,77.03038762659286,215.22179999999997,24.7435
2026-01-27 13:35:17.200000+00:00,0.4707,0.09638999999999999,1.1962800000000002,0.02626,0.0005500000000000005,-0.016309999999999998,28.52611896389692,77.03038762659286,215.22179999999997,24.7435
2026-01-27 13:35:17.300000+00:00,0.48125,0.10089000000000001,0.28784,0.00876,0.013730000000000001,-0.014610000000000001,28.52611896389692,77.03038762659286,215.22179999999997,24.7435
2026-01-27 13:35:17.400000+00:00,0.49996,0.22416,-0.48138000000000003,0.00030000000000000095,0.01719,-0.01472,28.52611896389692,77.03038762659286,215.22179999999997,24.7435
2026-01-27 13:35:17.500000+00:00,0.33365999999999996,0.26846000000000003,-0.39542,-0.0031900000000000006,0.0037899999999999995,-0.01932,28.52611896389692,77.03038762659286,215.22179999999997,24.7435
2026-01-27 13:35:17.600000+00:00,0.39833,0.19027999999999998,0.08874999999999998,-0.00635,-0.0032299999999999976,-0.01303,28.52611896389692,77.03038762659286,215.22179999999997,24.7435
2026-01-27 13:35:17.700000+00:00,0.26610999999999996,0.25376,0.32902,-0.01249,-0.03013,-0.00772,28.52611896389692,77.03038762659286,215.22179999999997,24.7435
2026-01-27 13:35:17.800000+00:00,0.5018900000000001,0.23367,-0.24881000000000003,-0.038740000000000004,0.013510000000000003,-0.02865,28.52611896389692,77.03038762659286,215.22179999999997,24.7435
2026-01-27 13:35:17.900000+00:00,0.51811,0.17619,-0.4688,-0.02393,0.026090000000000002,-0.009420000000000001,28.52611896389692,77.03038762659286,215.22179999999997,24.7435
2026-01-27 13:35:18+00:00,0.5267999999999999,0.12128999999999998,0.13344999999999999,0.00664,0.01842,-0.01038,28.526012719203276,77.03029133179598,215.54436,24.901600000000002
2026-01-27 13:35:18.100000+00:00,0.40241,0.21586,0.58937,0.009290000000000001,0.009130000000000001,-0.017779999999999997,28.525941889407516,77.03022713526474,215.7594,25.007
2026-01-27 13:35:18.200000+00:00,0.26422,0.22507000000000002,0.46213,0.011649999999999999,-0.020950000000000003,0.01562,28.525941889407516,77.03022713526474,215.7594,25.007
2026-01-27 13:35:18.300000+00:00,0.22842,0.18367,0.36889000000000005,0.00643,-0.02106,-0.0241,28.525941889407516,77.03022713526474,215.7594,25.007
2026-01-27 13:35:18.400000+00:00,0.30489,-0.00040000000000000034,0.6355600000000001,0.02183,-0.04525,-0.02029,28.525941889407516,77.03022713526474,215.7594,25.007
2026-01-27 13:35:18.500000+00:00,0.4989,0.028239999999999998,0.46995000000000003,0.0186,-0.03403,-0.01641,28.525941889407516,77.03022713526474,215.7594,25.007
2026-01-27 13:35:18.600000+00:00,0.5235799999999999,0.25043000000000004,-0.25701,-0.011649999999999999,-0.018199999999999997,0.01261,28.525941889407516,77.03022713526474,215.7594,25.007
2026-01-27 13:35:18.700000+00:00,0.49851,0.48989000000000005,-1.48638,-0.03542,0.00011999999999999927,0.01465,28.525941889407516,77.03022713526474,215.7594,25.007
2026-01-27 13:35:18.800000+00:00,0.3554,0.51334,-1.93491,-0.06665,0.048650000000000006,0.0112,28.525941889407516,77.03022713526474,215.7594,25.007
2026-01-27 13:35:18.900000+00:00,-0.04444999999999997,-0.08818000000000001,0.006240000000000056,0.008249999999999999,-0.00842,-0.00996,28.525941889407516,77.03022713526474,215.7594,25.007
2026-01-27 13:35:19+00:00,0.3096,-0.30131,3.03737,0.08953,-0.0015500000000000015,-0.00952,28.525836034639603,77.03012672436456,215.83415999999997,25.21364
2026-01-27 13:35:19.100000+00:00,0.49498,0.11104999999999998,2.08338,0.037919999999999995,0.018430000000000002,-0.0015600000000000002,28.525765464794336,77.03005978376444,215.88399999999996,25.3514
2026-01-27 13:35:19.200000+00:00,0.27918000000000004,0.38978,-1.53049,-0.061840000000000006,-0.004,-0.01008,28.525765464794336,77.03005978376444,215.88399999999996,25.3514
2026-01-27 13:35:19.300000+00:00,0.38103,0.56433,-2.21283,-0.05031,0.026890000000000004,-0.00217,28.525765464794336,77.03005978376444,215.88399999999996,25.3514
2026-01-27 13:35:19.400000+00:00,0.36788000000000004,0.27957,-0.96203,-0.01058,0.03649,-0.0030900000000000003,28.525765464794336,77.03005978376444,215.88399999999996,25.3514
2026-01-27 13:35:19.500000+00:00,0.40174000000000004,0.14822,0.22495000000000004,-0.011629999999999998,0.05045999999999999,-0.00925,28.525765464794336,77.03005978376444,215.88399999999996,25.3514
2026-01-27 13:35:19.600000+00:00,0.43972,-0.009250000000000003,0.9825600000000001,-0.01046,-0.003579999999999999,0.0049499999999999995,28.525765464794336,77.03005978376444,215.88399999999996,25.3514
2026-01-27 13:35:19.700000+00:00,0.4235300000000001,0.05231,1.52413,-0.00439,0.013420000000000001,0.0014000000000000006,28.525765464794336,77.03005978376444,215.88399999999996,25.3514
2026-01-27 13:35:19.800000+00:00,0.57227,0.14842,0.9710699999999999,0.03429,0.031869999999999996,-0.0077,28.525765464794336,77.03005978376444,215.88399999999996,25.3514
2026-01-27 13:35:19.900000+00:00,0.1789,0.14936,-0.09358000000000001,0.018370000000000004,0.002019999999999999,-0.01719,28.525765464794336,77.03005978376444,215.88399999999996,25.3514
2026-01-27 13:35:20+00:00,0.15817,0.15666,-0.68355,0.00742,-0.011350000000000002,-0.03775,28.525659307691928,77.0299576963466,215.89389999999997,25.53584
2026-01-27 13:35:20.100000+00:00,0.17765,0.03580999999999999,0.07827999999999999,0.01497,-0.045040000000000004,-0.06645999999999999,28.525588536290325,77.02988963806803,215.90050000000002,25.658799999999996
2026-01-27 13:35:20.200000+00:00,0.27942999999999996,0.10623,1.16004,0.01421,-0.0379,-0.01782,28.525588536290325,77.02988963806803,215.90050000000002,25.658799999999996
2026-01-27 13:35:20.300000+00:00,0.44912,0.33615000000000006,0.48491999999999996,-0.02787,-0.001429999999999999,-0.00842,28.525588536290325,77.02988963806803,215.90050000000002,25.658799999999996
2026-01-27 13:35:20.400000+00:00,0.32626,0.05886999999999998,-0.54936,-0.02395,0.021939999999999998,0.00458,28.525588536290325,77.02988963806803,215.90050000000002,25.658799999999996
2026-01-27 13:35:20.500000+00:00,0.10181,0.050159999999999996,-0.05122999999999996,0.0066099999999999996,-0.019870000000000002,0.0247,28.525588536290325,77.02988963806803,215.90050000000002,25.658799999999996
2026-01-27 13:35:20.600000+00:00,0.03402000000000001,0.10513000000000002,0.70964,0.012,0.035250000000000004,-0.02692,28.525588536290325,77.02988963806803,215.90050000000002,25.658799999999996
2026-01-27 13:35:20.700000+00:00,0.39364,0.10467999999999997,1.0989,0.015649999999999997,0.044270000000000004,0.00199,28.525588536290325,77.02988963806803,215.90050000000002,25.658799999999996
2026-01-27 13:35:20.800000+00:00,0.26561,-0.09198,1.16889,0.0039,0.01222,-0.006369999999999999,28.525588536290325,77.02988963806803,215.90050000000002,25.658799999999996
2026-01-27 13:35:20.900000+00:00,0.35329,0.02681,0.78117,-0.01125,-0.013480000000000002,0.0081,28.525588536290325,77.02988963806803,215.90050000000002,25.658799999999996
2026-01-27 13:35:21+00:00,0.13878,0.056709999999999997,0.39211,-0.0007499999999999996,-0.015179999999999999,-0.03254,28.525482126625718,77.02978399618567,216.15724,25.81492
2026-01-27 13:35:21.100000+00:00,-0.15250999999999998,0.21327000000000002,0.17371999999999996,-0.0014700000000000002,0.0013100000000000008,-0.03858,28.52541118684932,77.02971356826409,216.32839999999996,25.919
2026-01-27 13:35:21.200000+00:00,-0.23339000000000004,0.16818,-0.22838000000000003,-0.01653,0.04837,0.00686,28.52541118684932,77.02971356826409,216.32839999999996,25.919
2026-01-27 13:35:21.300000+00:00,-0.19249999999999998,-0.04068000000000001,-0.32134,0.0020600000000000006,0.008879999999999999,0.029199999999999997,28.52541118684932,77.02971356826409,216.32839999999996,25.919
2026-01-27 13:35:21.400000+00:00,-0.27264,0.09492,-0.58692,-0.04010999999999999,-0.00037,-0.04077,28.52541118684932,77.02971356826409,216.32839999999996,25.919
2026-01-27 13:35:21.500000+00:00,-0.09206999999999999,-0.14907999999999996,0.60419,0.02043,-0.022119999999999994,-0.02089,28.52541118684932,77.02971356826409,216.32839999999996,25.919
2026-01-27 13:35:21.600000+00:00,-0.07610000000000003,0.07813,1.6113399999999998,0.0397,-0.03259,-0.0010099999999999998,28.52541118684932,77.02971356826409,216.32839999999996,25.919
2026-01-27 13:35:21.700000+00:00,0.12327999999999999,0.03632999999999999,0.52337,-0.00819,-0.010820000000000001,-0.0018500000000000005,28.52541118684932,77.02971356826409,216.32839999999996,25.919
2026-01-27 13:35:21.800000+00:00,0.23703000000000002,-0.11734,0.015310000000000018,0.01732,0.024,0.01217,28.52541118684932,77.02971356826409,216.32839999999996,25.919
2026-01-27 13:35:21.900000+00:00,0.07732000000000001,0.018519999999999988,0.13849000000000006,-0.0003699999999999995,0.03453,0.011890000000000001,28.52541118684932,77.02971356826409,216.32839999999996,25.919
2026-01-27 13:35:22+00:00,-0.18813,0.22286,-0.58576,-0.01676,0.006559999999999999,-0.02843,28.52530432910367,77.0296066648622,216.34436,26.08628
2026-01-27 13:35:22.100000+00:00,-0.22278000000000003,0.046460000000000015,0.03809,0.0030399999999999997,-0.019320000000000004,-0.00324,28.52523309060657,77.02953539592761,216.35499999999996,26.1978
2026-01-27 13:35:22.200000+00:00,0.012959999999999985,-0.022660000000000013,0.11404,-0.01769,-0.012280000000000003,-0.0017999999999999995,28.52523309060657,77.02953539592761,216.35499999999996,26.1978
2026-01-27 13:35:22.300000+00:00,0.0386,-0.10778999999999998,-0.07405000000000002,-0.026690000000000002,0.014300000000000002,-0.00614,28.52523309060657,77.02953539592761,216.35499999999996,26.1978
2026-01-27 13:35:22.400000+00:00,0.019569999999999997,-0.047220000000000005,0.55738,0.01285,0.026590000000000003,-0.03477,28.52523309060657,77.02953539592761,216.35499999999996,26.1978
